Speed,logspeed
0,-Inf
0,-Inf
0,-Inf
0.33,-1.1086626245216111
1.34,0.29266961396282004
2.67,0.9820784724121582
2,0.6931471805599453
5.01,1.6114359150967734
6.35,1.8484548129046001
6.35,1.8484548129046001
7.01,1.9473377010464987
7.01,1.9473377010464987
5.01,1.6114359150967734
1.67,0.5128236264286637
2,0.6931471805599453
0.33,-1.1086626245216111
0,-Inf
0,-Inf
0,-Inf
0.67,-0.40047756659712525
0,-Inf
0.33,-1.1086626245216111
0,-Inf
0.33,-1.1086626245216111
0,-Inf
0.67,-0.40047756659712525
0,-Inf
1,0
1.67,0.5128236264286637
2.34,0.85015092936961
2.67,0.9820784724121582
3.67,1.3001916620664788
6.68,1.8991179875485542
7.01,1.9473377010464987
7.35,1.9947003132247452
7.01,1.9473377010464987
5.68,1.7369512327330598
2.67,0.9820784724121582
2.67,0.9820784724121582
1,0
1,0
1,0
0.33,-1.1086626245216111
0.33,-1.1086626245216111
0,-Inf
0.33,-1.1086626245216111
0,-Inf
0.33,-1.1086626245216111
0.33,-1.1086626245216111
0.33,-1.1086626245216111
0.67,-0.40047756659712525
0.67,-0.40047756659712525
1.67,0.5128236264286637
2.34,0.85015092936961
2,0.6931471805599453
3.01,1.1019400787607843
4.68,1.5432981099295553
6.68,1.8991179875485542
7.35,1.9947003132247452
7.68,2.038619547159581
6.35,1.8484548129046001
2.34,0.85015092936961
2.34,0.85015092936961
0.67,-0.40047756659712525
0.33,-1.1086626245216111
0.67,-0.40047756659712525
0.33,-1.1086626245216111
0.33,-1.1086626245216111
0.33,-1.1086626245216111
0.33,-1.1086626245216111
0.67,-0.40047756659712525
0,-Inf
0.33,-1.1086626245216111
1,0
0.67,-0.40047756659712525
0.67,-0.40047756659712525
1.67,0.5128236264286637
2.34,0.85015092936961
2.34,0.85015092936961
1.34,0.29266961396282004
4.68,1.5432981099295553
7.01,1.9473377010464987
6.68,1.8991179875485542
6.68,1.8991179875485542
4.68,1.5432981099295553
1.34,0.29266961396282004
0.33,-1.1086626245216111
0.67,-0.40047756659712525
0.67,-0.40047756659712525
0.33,-1.1086626245216111
0,-Inf
0.33,-1.1086626245216111
0.33,-1.1086626245216111
0.33,-1.1086626245216111
0,-Inf
0.33,-1.1086626245216111
0.33,-1.1086626245216111
0.67,-0.40047756659712525
0.67,-0.40047756659712525
0.33,-1.1086626245216111
1.34,0.29266961396282004
2,0.6931471805599453
2.67,0.9820784724121582
2.34,0.85015092936961
4.34,1.4678743481123135
5.68,1.7369512327330598
5.68,1.7369512327330598
7.35,1.9947003132247452
5.68,1.7369512327330598
1.67,0.5128236264286637
1,0
1,0
0.67,-0.40047756659712525
0.67,-0.40047756659712525
0,-Inf
0,-Inf
0,-Inf
0.33,-1.1086626245216111
0,-Inf
0.33,-1.1086626245216111
0.67,-0.40047756659712525
0.67,-0.40047756659712525
1.34,0.29266961396282004
0.67,-0.40047756659712525
1,0
2,0.6931471805599453
2,0.6931471805599453
4.01,1.3887912413184778
5.68,1.7369512327330598
6.01,1.7934247485471162
6.68,1.8991179875485542
6.68,1.8991179875485542
5.34,1.6752256529721035
1.67,0.5128236264286637
0.33,-1.1086626245216111
1,0
1.34,0.29266961396282004
1.34,0.29266961396282004
0.67,-0.40047756659712525
0.33,-1.1086626245216111
0,-Inf
0,-Inf
0.33,-1.1086626245216111
0,-Inf
0,-Inf
0.67,-0.40047756659712525
0.33,-1.1086626245216111
0.67,-0.40047756659712525
1.67,0.5128236264286637
2.34,0.85015092936961
2.67,0.9820784724121582
4.34,1.4678743481123135
6.68,1.8991179875485542
7.01,1.9473377010464987
6.68,1.8991179875485542
5.68,1.7369512327330598
5.01,1.6114359150967734
1.34,0.29266961396282004
1,0
1,0
1,0
0.67,-0.40047756659712525
1,0
1,0
0.33,-1.1086626245216111
0.67,-0.40047756659712525
0.33,-1.1086626245216111
0,-Inf
0,-Inf
1,0
0.67,-0.40047756659712525
0.67,-0.40047756659712525
1.34,0.29266961396282004
3.01,1.1019400787607843
4.68,1.5432981099295553
6.01,1.7934247485471162
5.68,1.7369512327330598
7.01,1.9473377010464987
7.35,1.9947003132247452
7.01,1.9473377010464987
4.01,1.3887912413184778
1.67,0.5128236264286637
0.67,-0.40047756659712525
0.33,-1.1086626245216111
0.33,-1.1086626245216111
0.33,-1.1086626245216111
0.33,-1.1086626245216111
0.33,-1.1086626245216111
0.33,-1.1086626245216111
0.33,-1.1086626245216111
0.33,-1.1086626245216111
0,-Inf
0,-Inf
0.33,-1.1086626245216111
0,-Inf
0.67,-0.40047756659712525
2,0.6931471805599453
4.68,1.5432981099295553
6.01,1.7934247485471162
6.35,1.8484548129046001
8.02,2.081938421878423
7.68,2.038619547159581
6.35,1.8484548129046001
6.01,1.7934247485471162
3.01,1.1019400787607843
1.34,0.29266961396282004
1,0
0.33,-1.1086626245216111
1,0
0.33,-1.1086626245216111
0.33,-1.1086626245216111
0.33,-1.1086626245216111
0.67,-0.40047756659712525
0.67,-0.40047756659712525
0.33,-1.1086626245216111
0.33,-1.1086626245216111
0.67,-0.40047756659712525
0.67,-0.40047756659712525
1.34,0.29266961396282004
2.34,0.85015092936961
8.35,2.122261538862764
9.35,2.2353763433005955
10.02,2.3045830956567186
10.02,2.3045830956567186
9.02,2.199444334074532
9.35,2.2353763433005955
8.68,2.1610215286722587
8.35,2.122261538862764
6.68,1.8991179875485542
3.01,1.1019400787607843
2.34,0.85015092936961
1,0
2,0.6931471805599453
0.67,-0.40047756659712525
0,-Inf
0.33,-1.1086626245216111
0.33,-1.1086626245216111
0.33,-1.1086626245216111
0,-Inf
0,-Inf
0.33,-1.1086626245216111
0.33,-1.1086626245216111
0.67,-0.40047756659712525
2,0.6931471805599453
5.01,1.6114359150967734
7.01,1.9473377010464987
7.35,1.9947003132247452
7.68,2.038619547159581
7.68,2.038619547159581
6.68,1.8991179875485542
5.34,1.6752256529721035
4.34,1.4678743481123135
3.01,1.1019400787607843
1,0
0.67,-0.40047756659712525
1.34,0.29266961396282004
0.67,-0.40047756659712525
0.33,-1.1086626245216111
0.33,-1.1086626245216111
0.33,-1.1086626245216111
0.33,-1.1086626245216111
0.33,-1.1086626245216111
0,-Inf
0,-Inf
0,-Inf
0,-Inf
0.33,-1.1086626245216111
0.33,-1.1086626245216111
1.34,0.29266961396282004
1.67,0.5128236264286637
3.01,1.1019400787607843
5.68,1.7369512327330598
6.35,1.8484548129046001
6.35,1.8484548129046001
6.35,1.8484548129046001
5.34,1.6752256529721035
3.34,1.205970806988609
1.34,0.29266961396282004
1.34,0.29266961396282004
0.67,-0.40047756659712525
0.33,-1.1086626245216111
0,-Inf
0.33,-1.1086626245216111
0,-Inf
0,-Inf
0.33,-1.1086626245216111
0,-Inf
0,-Inf
0,-Inf
0.33,-1.1086626245216111
0.67,-0.40047756659712525
0.67,-0.40047756659712525
